,Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(FTM),Value_OUT(FTM),CurrentValue @ $3.003/FTM,TxnFee(FTM),TxnFee(USD),Historical $Price/FTM,Status,ErrCode,Method,vlorandup,Relevant,Arguments used by tomb dev,Contract,Method,Our Arguments,Notes,
https://ftmscan.com/tx/0xc0b21d459b7c10342edd0596eb60d24326d15db7f358b9058f21b0ed6618ce29,0xc0b21d459b7c10342edd0596eb60d24326d15db7f358b9058f21b0ed6618ce29,8310427,1622416834,30-05-21 23:20,0x12164b332d01cc694e752d7039ee21d56fe7705d,0x6c021ae822bea943b2e66552bde1d2696a53fbb7,,0,0,0,0.03556815,0.106811154,0.29,,,Set Tomb Oracle,https://ftmscan.com/tx/0xc0b21d459b7c10342edd0596eb60d24326d15db7f358b9058f21b0ed6618ce29,Yes,oracle address created at step 23,tomb: ,Set Tomb Oracle,,,
https://ftmscan.com/tx/0x79e115b33f75c1af8d4171aa784ac3abd28e76fd59d165507d3ae9e00f2022e2,0x79e115b33f75c1af8d4171aa784ac3abd28e76fd59d165507d3ae9e00f2022e2,8310432,1622416838,30-05-21 23:20,0x12164b332d01cc694e752d7039ee21d56fe7705d,0xd1f5f1ab6ead80b3bf81268566a085be9186bb59,,0,0,0,0.0348363,0.104613409,0.29,,,Set Completed,#N/A,_,,,,,,
https://ftmscan.com/tx/0xa1df80a5f555a2c436493b9bb88080124408301cafe34071cb5832179db1a6cb,0xa1df80a5f555a2c436493b9bb88080124408301cafe34071cb5832179db1a6cb,8310439,1622416842,30-05-21 23:20,0x12164b332d01cc694e752d7039ee21d56fe7705d,,0xd4e0cde22e62fd3c556e856d0f630e88762a7668,0,0,0,0.26992075,0.810572012,0.29,,,0x60806040,https://ftmscan.com/tx/0xa1df80a5f555a2c436493b9bb88080124408301cafe34071cb5832179db1a6cb,Yes,no constructor arguments -> hardcoded addreses!!!,Treasury: ,Create Contract,,,
https://ftmscan.com/tx/0x626314cc2e3abba50f02e61b3ae24114e3c3c21e66b4250cde53a3cf83ce4686,0x626314cc2e3abba50f02e61b3ae24114e3c3c21e66b4250cde53a3cf83ce4686,8310444,1622416845,30-05-21 23:20,0x12164b332d01cc694e752d7039ee21d56fe7705d,,0xb0dbeb5d7914819bcd0cf466bbe0b5d78dc03203,0,0,0,0.13367645,0.401430379,0.29,,,0x60806040,#N/A,_,,,,,,
https://ftmscan.com/tx/0x5851e4a216613bab979e2da2753aa1924cfab8fb483d9629e12e514a38c0321d,0x5851e4a216613bab979e2da2753aa1924cfab8fb483d9629e12e514a38c0321d,8310460,1622416857,30-05-21 23:20,0x12164b332d01cc694e752d7039ee21d56fe7705d,0xb0dbeb5d7914819bcd0cf466bbe0b5d78dc03203,,0,0,0,0.04219575,0.126713837,0.29,,,Initialize,#N/A,_,,,,,,
https://ftmscan.com/tx/0x5ef9a3681515c6e6a19bc33aaf4419055438be0880ab6be59089710b8a46a436,0x5ef9a3681515c6e6a19bc33aaf4419055438be0880ab6be59089710b8a46a436,8310480,1622416876,30-05-21 23:21,0x12164b332d01cc694e752d7039ee21d56fe7705d,0xd4e0cde22e62fd3c556e856d0f630e88762a7668,,0,0,0,0.06871865,0.206362106,0.29,,,Initialize,#N/A,_,,,,,,
https://ftmscan.com/tx/0xc6c6c3abb3a7f52dc9f750ee5fd4e3bde64cee8a2607074e1e16ffce3a06ed5a,0xc6c6c3abb3a7f52dc9f750ee5fd4e3bde64cee8a2607074e1e16ffce3a06ed5a,8310485,1622416879,30-05-21 23:21,0x12164b332d01cc694e752d7039ee21d56fe7705d,0xd4e0cde22e62fd3c556e856d0f630e88762a7668,,0,0,0,0.03833655,0.11512466,0.29,,,Set Extra Funds,#N/A,_,,,,,,
https://ftmscan.com/tx/0xcfb8593d1a9d849e8cd959d9b3285d712f119b59db0ac7dd281b040863ab250d,0xcfb8593d1a9d849e8cd959d9b3285d712f119b59db0ac7dd281b040863ab250d,8310513,1622416898,30-05-21 23:21,0x12164b332d01cc694e752d7039ee21d56fe7705d,0xd1f5f1ab6ead80b3bf81268566a085be9186bb59,,0,0,0,0.0348363,0.104613409,0.29,,,Set Completed,#N/A,_,,,,,,
https://ftmscan.com/tx/0x1e365d125dcaf10e25ab4734304854270181947773e0360603dda14bdcbd6190,0x1e365d125dcaf10e25ab4734304854270181947773e0360603dda14bdcbd6190,8310544,1622416918,30-05-21 23:21,0x12164b332d01cc694e752d7039ee21d56fe7705d,,0x8fb778209176622de9e3564302211f9c13405858,0,0,0,0.0878544,0.263826763,0.29,,,0x60806040,https://ftmscan.com/tx/0x1e365d125dcaf10e25ab4734304854270181947773e0360603dda14bdcbd6190,Yes,tomb address,TaxOfficeV1:,Create Contract,,,
https://ftmscan.com/tx/0x16e6d820f6b048c58d628af852a25edfb90f5abf2b14e54261f855de3f40e712,0x16e6d820f6b048c58d628af852a25edfb90f5abf2b14e54261f855de3f40e712,8310573,1622416938,30-05-21 23:22,0x12164b332d01cc694e752d7039ee21d56fe7705d,0x6c021ae822bea943b2e66552bde1d2696a53fbb7,,0,0,0,0.0356641,0.107099292,0.29,,,Set Tax Office,https://ftmscan.com/tx/0x16e6d820f6b048c58d628af852a25edfb90f5abf2b14e54261f855de3f40e712,Yes,tomb tax officev1 address created at step 141,tomb: ,Set Tax Office,,,
